filename,speaker,item_code,variableN,rowN,variantN,word,variant
S06_1-1-2_dinners_O,S06,1-1-2,1,1,2,dinners,O
S06_1-1-3_dental_N,S06,1-1-3,1,1,3,dental,N
S06_1-2-2_fringes_O,S06,1-2-2,1,2,2,fringes,O
S06_1-2-3_friendless_N,S06,1-2-3,1,2,3,friendless,N
S06_1-3-3_gemstone_N,S06,1-3-3,1,3,3,gemstone,N
S06_1-4-2_limits_O,S06,1-4-2,1,4,2,limits,O
S06_1-4-3_lemon_N,S06,1-4-3,1,4,3,lemon,N
S06_1-5-2_spindly_O,S06,1-5-2,1,5,2,spindly,O
S06_1-5-3_spenders_N,S06,1-5-3,1,5,3,spenders,N
S06_1-6-2_tinted_O,S06,1-6-2,1,6,2,tinted,O
S06_1-6-3_tendons_N,S06,1-6-3,1,6,3,tendons,N
S06_1-7-2_vintage_O,S06,1-7-2,1,7,2,vintage,O
S06_1-7-3_venture_N,S06,1-7-3,1,7,3,venture,N
S06_1-8-2_gingerbread_O,S06,1-8-2,1,8,2,gingerbread,O
S06_1-8-3_generates_N,S06,1-8-3,1,8,3,generates,N
S06_1-9-2_syndicate_O,S06,1-9-2,1,9,2,syndicate,O
S06_1-9-3_sentiments_N,S06,1-9-3,1,9,3,sentiments,N
S06_1-10-2_vindicates_O,S06,1-10-2,1,10,2,vindicates,O
S06_1-10-3_ventilates_N,S06,1-10-3,1,10,3,ventilates,N
S06_2-1-3_fieldwork_N,S06,2-1-3,2,1,3,fieldwork,N
S06_2-2-2_silly_O,S06,2-2-2,2,2,2,silly,O
S06_2-2-3_ceiling_N,S06,2-2-3,2,2,3,ceiling,N
S06_2-3-2_hilltop_O,S06,2-3-2,2,3,2,hilltop,O
S06_2-3-3_healers_N,S06,2-3-3,2,3,3,healers,N
S06_2-4-2_mildew_O,S06,2-4-2,2,4,2,mildew,O
S06_2-4-3_mealtime_N,S06,2-4-3,2,4,3,mealtime,N
S06_2-5-2_pillars_O,S06,2-5-2,2,5,2,pillars,O
