/Users/laurettacheng/Documents/MFA/thirdparty/bin/gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=100 --retry-beam=400 --careful=false '/Users/laurettacheng/Documents/MFA/thirdparty/bin/gmm-boost-silence --boost=1.0 6 "../02-stimuli/P0-norming/n2/03-recordings/S16/3_selections/1_P1/4_aligned/mfa_aligner/original_corpus/align/final.mdl" - |' ark:../02-stimuli/P0-norming/n2/03-recordings/S16/3_selections/1_P1/4_aligned/mfa_aligner/original_corpus/align/fsts.0 'ark,s,cs:apply-cmvn --utt2spk=ark:../02-stimuli/P0-norming/n2/03-recordings/S16/3_selections/1_P1/4_aligned/mfa_aligner/original_corpus/corpus_data/split1/utt2spk.0 scp:../02-stimuli/P0-norming/n2/03-recordings/S16/3_selections/1_P1/4_aligned/mfa_aligner/original_corpus/corpus_data/split1/cmvn.0.scp scp:../02-stimuli/P0-norming/n2/03-recordings/S16/3_selections/1_P1/4_aligned/mfa_aligner/original_corpus/corpus_data/split1/feats.0.scp ark:- | add-deltas ark:- ark:- | transform-feats --utt2spk=ark:../02-stimuli/P0-norming/n2/03-recordings/S16/3_selections/1_P1/4_aligned/mfa_aligner/original_corpus/corpus_data/split1/utt2spk.0 ark,s,cs:../02-stimuli/P0-norming/n2/03-recordings/S16/3_selections/1_P1/4_aligned/mfa_aligner/original_corpus/align/trans.0 ark:- ark:- |' ark,t:../02-stimuli/P0-norming/n2/03-recordings/S16/3_selections/1_P1/4_aligned/mfa_aligner/original_corpus/align/ali.0 ark,t:../02-stimuli/P0-norming/n2/03-recordings/S16/3_selections/1_P1/4_aligned/mfa_aligner/original_corpus/align/ali.0.scores 
/Users/laurettacheng/Documents/MFA/thirdparty/bin/gmm-boost-silence --boost=1.0 6 ../02-stimuli/P0-norming/n2/03-recordings/S16/3_selections/1_P1/4_aligned/mfa_aligner/original_corpus/align/final.mdl - 
WARNING (gmm-boost-silence[5.5.880~1-3e446]:main():gmm-boost-silence.cc:82) The pdfs for the silence phones may be shared by other phones (note: this probably does not matter.)
LOG (gmm-boost-silence[5.5.880~1-3e446]:main():gmm-boost-silence.cc:93) Boosted weights for 5 pdfs, by factor of 1
LOG (gmm-boost-silence[5.5.880~1-3e446]:main():gmm-boost-silence.cc:103) Wrote model to -
add-deltas ark:- ark:- 
apply-cmvn --utt2spk=ark:../02-stimuli/P0-norming/n2/03-recordings/S16/3_selections/1_P1/4_aligned/mfa_aligner/original_corpus/corpus_data/split1/utt2spk.0 scp:../02-stimuli/P0-norming/n2/03-recordings/S16/3_selections/1_P1/4_aligned/mfa_aligner/original_corpus/corpus_data/split1/cmvn.0.scp scp:../02-stimuli/P0-norming/n2/03-recordings/S16/3_selections/1_P1/4_aligned/mfa_aligner/original_corpus/corpus_data/split1/feats.0.scp ark:- 
transform-feats --utt2spk=ark:../02-stimuli/P0-norming/n2/03-recordings/S16/3_selections/1_P1/4_aligned/mfa_aligner/original_corpus/corpus_data/split1/utt2spk.0 ark,s,cs:../02-stimuli/P0-norming/n2/03-recordings/S16/3_selections/1_P1/4_aligned/mfa_aligner/original_corpus/align/trans.0 ark:- ark:- 
LOG (gmm-align-compiled[5.5.880~1-3e446]:main():gmm-align-compiled.cc:127) labels_S16_selected_tokens_0_0_0_7119
LOG (gmm-align-compiled[5.5.880~1-3e446]:main():gmm-align-compiled.cc:127) labels_S16_selected_tokens_0_7119_1_4724
LOG (gmm-align-compiled[5.5.880~1-3e446]:main():gmm-align-compiled.cc:127) labels_S16_selected_tokens_100_9177_101_8324
LOG (gmm-align-compiled[5.5.880~1-3e446]:main():gmm-align-compiled.cc:127) labels_S16_selected_tokens_101_8324_102_5046
LOG (gmm-align-compiled[5.5.880~1-3e446]:main():gmm-align-compiled.cc:127) labels_S16_selected_tokens_102_5046_103_2158
LOG (gmm-align-compiled[5.5.880~1-3e446]:main():gmm-align-compiled.cc:127) labels_S16_selected_tokens_103_2158_103_9103
LOG (gmm-align-compiled[5.5.880~1-3e446]:main():gmm-align-compiled.cc:127) labels_S16_selected_tokens_103_9103_104_5821
LOG (gmm-align-compiled[5.5.880~1-3e446]:main():gmm-align-compiled.cc:127) labels_S16_selected_tokens_104_5821_105_3099
LOG (gmm-align-compiled[5.5.880~1-3e446]:main():gmm-align-compiled.cc:127) labels_S16_selected_tokens_105_3099_105_974
LOG (gmm-align-compiled[5.5.880~1-3e446]:main():gmm-align-compiled.cc:127) labels_S16_selected_tokens_105_974_106_9673
LOG (gmm-align-compiled[5.5.880~1-3e446]:main():gmm-align-compiled.cc:127) labels_S16_selected_tokens_106_9673_107_991
